job_id,title,sector,description,required_skills,experience_level,company_type,location
JOB_00011,Senior Software Architect,Yazılım Geliştirme,"Teknoloji Devi bünyesinde görev yapacak Senior seviye Software Architect arıyoruz. Yazılım Geliştirme alanında deneyimli, MongoDB, C++, Git teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: MongoDB, C++, Git, CI/CD, REST API, Kubernetes, PostgreSQL. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","MongoDB, C++, Git, CI/CD, REST API, Kubernetes, PostgreSQL",Senior,Teknoloji Devi,Ankara
JOB_00012,Principal Digital Marketing Specialist,E-Ticaret,"Ar-Ge Merkezi bünyesinde görev yapacak Principal seviye Digital Marketing Specialist arıyoruz. E-Ticaret alanında deneyimli, SEO, Inventory Management, Conversion Optimization teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: SEO, Inventory Management, Conversion Optimization, Magento, CRM, Shopify, A/B Testing, User Experience Design, Payment Integration. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","SEO, Inventory Management, Conversion Optimization, Magento, CRM, Shopify, A/B Testing, User Experience Design, Payment Integration",Principal,Ar-Ge Merkezi,Ankara
JOB_00013,Junior IoT Engineer,IoT ve Gömülü Sistemler,"Junior seviyede IoT Engineer pozisyonu için başvuruları kabul ediyoruz. Danışmanlık Firması olarak IoT ve Gömülü Sistemler alanında öncü projeler geliştiriyoruz. Aranan nitelikler: C++, Circuit Design, Python, Wireless Communication, RTOS, Sensor Integration, PCB Design, Arduino, Raspberry Pi, MQTT, C, Embedded Linux. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","C++, Circuit Design, Python, Wireless Communication, RTOS, Sensor Integration, PCB Design, Arduino, Raspberry Pi, MQTT, C, Embedded Linux",Junior,Danışmanlık Firması,İzmir
JOB_00014,Lead Bioinformatics Scientist,Sağlık Teknolojileri,"Teknoloji Devi bünyesinde görev yapacak Lead seviye Bioinformatics Scientist arıyoruz. Sağlık Teknolojileri alanında deneyimli, FHIR, Electronic Health Records, Clinical Data Management teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: FHIR, Electronic Health Records, Clinical Data Management, HL7, Medical Imaging, Python, Telemedicine Platforms, Bioinformatics. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","FHIR, Electronic Health Records, Clinical Data Management, HL7, Medical Imaging, Python, Telemedicine Platforms, Bioinformatics",Lead,Teknoloji Devi,İstanbul
JOB_00015,Junior Analytics Manager,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Scale-up'ümüz için Junior Analytics Manager pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: R, Data Visualization, Scikit-learn, A/B Testing, Tableau konularında deneyim. Ayrıca Pandas teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","R, Data Visualization, Scikit-learn, A/B Testing, Tableau, Pandas",Junior,Scale-up,Remote
JOB_00016,Mid-Level CISO,Siber Güvenlik,"Mid-Level seviyede CISO pozisyonu için başvuruları kabul ediyoruz. Danışmanlık Firması olarak Siber Güvenlik alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Firewall, Incident Response, Vulnerability Assessment, Burp Suite, Penetration Testing, Network Security, Security Auditing, OWASP, SIEM, Wireshark, Cryptography, Kali Linux. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Firewall, Incident Response, Vulnerability Assessment, Burp Suite, Penetration Testing, Network Security, Security Auditing, OWASP, SIEM, Wireshark, Cryptography, Kali Linux",Mid-Level,Danışmanlık Firması,İstanbul
JOB_00017,Lead Data Scientist,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Danışmanlık Firması'ümüz için Lead Data Scientist pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Pandas, A/B Testing, ETL, Data Visualization, Tableau konularında deneyim. Ayrıca PyTorch, SQL, TensorFlow, Power BI, Apache Spark teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Pandas, A/B Testing, ETL, Data Visualization, Tableau, PyTorch, SQL, TensorFlow, Power BI, Apache Spark",Lead,Danışmanlık Firması,Ankara
JOB_00018,Principal Data Engineer,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Startup'ümüz için Principal Data Engineer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Python, R, Statistical Analysis, Pandas, SQL konularında deneyim. Ayrıca  teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Python, R, Statistical Analysis, Pandas, SQL",Principal,Startup,Remote
JOB_00019,Lead Unity Developer,Oyun Geliştirme,"Lead seviyede Unity Developer pozisyonu için başvuruları kabul ediyoruz. Startup olarak Oyun Geliştirme alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Game Physics, Unity, Performance Optimization, 3D Modeling, Shader Programming, C#, C++. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Game Physics, Unity, Performance Optimization, 3D Modeling, Shader Programming, C#, C++",Lead,Startup,Hybrid
JOB_00020,Mid-Level Unity Developer,Oyun Geliştirme,"Oyun Geliştirme sektöründe faaliyet gösteren Kurumsal Firma'ümüz için Mid-Level Unity Developer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Unity, Game AI, Multiplayer Systems, Performance Optimization, Blender konularında deneyim. Ayrıca Animation, Game Physics, 3D Modeling teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Unity, Game AI, Multiplayer Systems, Performance Optimization, Blender, Animation, Game Physics, 3D Modeling",Mid-Level,Kurumsal Firma,Hybrid
JOB_00021,Junior AWS Solutions Architect,Bulut Bilişim,"Teknoloji Devi bünyesinde görev yapacak Junior seviye AWS Solutions Architect arıyoruz. Bulut Bilişim alanında deneyimli, Google Cloud, Azure, CloudFormation teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: Google Cloud, Azure, CloudFormation, Cloud Security, Terraform, Lambda. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","Google Cloud, Azure, CloudFormation, Cloud Security, Terraform, Lambda",Junior,Teknoloji Devi,Hybrid
JOB_00022,Principal CISO,Siber Güvenlik,"Startup bünyesinde görev yapacak Principal seviye CISO arıyoruz. Siber Güvenlik alanında deneyimli, Vulnerability Assessment, Wireshark, Kali Linux teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: Vulnerability Assessment, Wireshark, Kali Linux, OWASP, Security Auditing, SIEM. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","Vulnerability Assessment, Wireshark, Kali Linux, OWASP, Security Auditing, SIEM",Principal,Startup,İzmir
JOB_00023,Lead Security Analyst,Siber Güvenlik,"Lead seviyede Security Analyst pozisyonu için başvuruları kabul ediyoruz. Scale-up olarak Siber Güvenlik alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Incident Response, Security Auditing, Penetration Testing, Network Security, Burp Suite, Cryptography, Vulnerability Assessment, OWASP, Wireshark. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Incident Response, Security Auditing, Penetration Testing, Network Security, Burp Suite, Cryptography, Vulnerability Assessment, OWASP, Wireshark",Lead,Scale-up,Ankara
JOB_00024,Mid-Level Azure Administrator,Bulut Bilişim,"Mid-Level seviyede Azure Administrator pozisyonu için başvuruları kabul ediyoruz. Kurumsal Firma olarak Bulut Bilişim alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Terraform, Kubernetes, Docker, Google Cloud, S3, Serverless Architecture. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Terraform, Kubernetes, Docker, Google Cloud, S3, Serverless Architecture",Mid-Level,Kurumsal Firma,Hybrid
JOB_00025,Principal Software Architect,Yazılım Geliştirme,"Principal seviyede Software Architect pozisyonu için başvuruları kabul ediyoruz. Kurumsal Firma olarak Yazılım Geliştirme alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Go, Kubernetes, C++, Agile, JavaScript, GraphQL. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Go, Kubernetes, C++, Agile, JavaScript, GraphQL",Principal,Kurumsal Firma,Ankara
JOB_00026,Principal Blockchain Developer,Finans Teknolojileri,"Scale-up bünyesinde görev yapacak Principal seviye Blockchain Developer arıyoruz. Finans Teknolojileri alanında deneyimli, Risk Modeling, Smart Contracts, Solidity teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: Risk Modeling, Smart Contracts, Solidity, Financial Analysis, Blockchain, Python, SQL, Regulatory Compliance, Java, Payment Gateway Integration. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","Risk Modeling, Smart Contracts, Solidity, Financial Analysis, Blockchain, Python, SQL, Regulatory Compliance, Java, Payment Gateway Integration",Principal,Scale-up,İzmir
JOB_00027,Senior AI Product Manager,Yapay Zeka,"Yapay Zeka sektöründe faaliyet gösteren Scale-up'ümüz için Senior AI Product Manager pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: NLP, MLOps, GPT, Hugging Face, Python konularında deneyim. Ayrıca TensorFlow, Deep Learning, PyTorch, Transformers, Reinforcement Learning, Computer Vision, Feature Engineering teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","NLP, MLOps, GPT, Hugging Face, Python, TensorFlow, Deep Learning, PyTorch, Transformers, Reinforcement Learning, Computer Vision, Feature Engineering",Senior,Scale-up,Ankara
JOB_00028,Senior Frontend Developer,Yazılım Geliştirme,"Yazılım Geliştirme sektöründe faaliyet gösteren Ar-Ge Merkezi'ümüz için Senior Frontend Developer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: GraphQL, Node.js, Docker, REST API, JavaScript konularında deneyim. Ayrıca  teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","GraphQL, Node.js, Docker, REST API, JavaScript",Senior,Ar-Ge Merkezi,Hybrid
JOB_00029,Mid-Level Clinical Data Analyst,Sağlık Teknolojileri,"Sağlık Teknolojileri sektöründe faaliyet gösteren Scale-up'ümüz için Mid-Level Clinical Data Analyst pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Medical Imaging, Python, HL7, FHIR, Bioinformatics konularında deneyim. Ayrıca Telemedicine Platforms teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Medical Imaging, Python, HL7, FHIR, Bioinformatics, Telemedicine Platforms",Mid-Level,Scale-up,Ankara
JOB_00030,Junior Quantitative Analyst,Finans Teknolojileri,"Junior seviyede Quantitative Analyst pozisyonu için başvuruları kabul ediyoruz. Uluslararası Şirket olarak Finans Teknolojileri alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Python, Financial Analysis, Smart Contracts, Payment Gateway Integration, Algorithmic Trading, Regulatory Compliance, Blockchain, Solidity, SQL, Risk Modeling, Java. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Python, Financial Analysis, Smart Contracts, Payment Gateway Integration, Algorithmic Trading, Regulatory Compliance, Blockchain, Solidity, SQL, Risk Modeling, Java",Junior,Uluslararası Şirket,Ankara
JOB_00031,Senior Bioinformatics Scientist,Sağlık Teknolojileri,"Sağlık Teknolojileri sektöründe faaliyet gösteren Ar-Ge Merkezi'ümüz için Senior Bioinformatics Scientist pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: HIPAA Compliance, Bioinformatics, Python, Clinical Data Management, Telemedicine Platforms konularında deneyim. Ayrıca  teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","HIPAA Compliance, Bioinformatics, Python, Clinical Data Management, Telemedicine Platforms",Senior,Ar-Ge Merkezi,İstanbul
JOB_00032,Mid-Level Business Intelligence Analyst,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Teknoloji Devi'ümüz için Mid-Level Business Intelligence Analyst pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: R, A/B Testing, Power BI, TensorFlow, Scikit-learn konularında deneyim. Ayrıca Hadoop, Statistical Analysis, Tableau, ETL teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","R, A/B Testing, Power BI, TensorFlow, Scikit-learn, Hadoop, Statistical Analysis, Tableau, ETL",Mid-Level,Teknoloji Devi,Hybrid
JOB_00033,Junior Security Analyst,Siber Güvenlik,"Junior seviyede Security Analyst pozisyonu için başvuruları kabul ediyoruz. Danışmanlık Firması olarak Siber Güvenlik alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Network Security, OWASP, Wireshark, Firewall, Security Auditing, Kali Linux, Burp Suite, SIEM, Cryptography, Vulnerability Assessment, Incident Response. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Network Security, OWASP, Wireshark, Firewall, Security Auditing, Kali Linux, Burp Suite, SIEM, Cryptography, Vulnerability Assessment, Incident Response",Junior,Danışmanlık Firması,İzmir
JOB_00034,Lead Azure Administrator,Bulut Bilişim,"Lead seviyede Azure Administrator pozisyonu için başvuruları kabul ediyoruz. Kurumsal Firma olarak Bulut Bilişim alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Cloud Security, Docker, EC2, Google Cloud, Terraform, Lambda, Kubernetes, Serverless Architecture, Azure, CloudFormation, Cost Optimization. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Cloud Security, Docker, EC2, Google Cloud, Terraform, Lambda, Kubernetes, Serverless Architecture, Azure, CloudFormation, Cost Optimization",Lead,Kurumsal Firma,İstanbul
JOB_00035,Mid-Level Blockchain Developer,Finans Teknolojileri,"Finans Teknolojileri sektöründe faaliyet gösteren Uluslararası Şirket'ümüz için Mid-Level Blockchain Developer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Regulatory Compliance, SQL, Risk Modeling, Financial Analysis, Smart Contracts konularında deneyim. Ayrıca Algorithmic Trading, Java, Payment Gateway Integration, Blockchain, Python, Solidity teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Regulatory Compliance, SQL, Risk Modeling, Financial Analysis, Smart Contracts, Algorithmic Trading, Java, Payment Gateway Integration, Blockchain, Python, Solidity",Mid-Level,Uluslararası Şirket,Hybrid
JOB_00036,Junior Firmware Engineer,IoT ve Gömülü Sistemler,"IoT ve Gömülü Sistemler sektöründe faaliyet gösteren Ar-Ge Merkezi'ümüz için Junior Firmware Engineer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Wireless Communication, Arduino, MQTT, Microcontrollers, Python konularında deneyim. Ayrıca C, RTOS, C++ teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Wireless Communication, Arduino, MQTT, Microcontrollers, Python, C, RTOS, C++",Junior,Ar-Ge Merkezi,Hybrid
JOB_00037,Lead Data Engineer,Veri Bilimi,"Veri Bilimi sektöründe faaliyet gösteren Danışmanlık Firması'ümüz için Lead Data Engineer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Statistical Analysis, PyTorch, TensorFlow, Pandas, SQL konularında deneyim. Ayrıca Apache Spark, Python, R teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Statistical Analysis, PyTorch, TensorFlow, Pandas, SQL, Apache Spark, Python, R",Lead,Danışmanlık Firması,Ankara
JOB_00038,Principal AI Product Manager,Yapay Zeka,"Yapay Zeka sektöründe faaliyet gösteren Uluslararası Şirket'ümüz için Principal AI Product Manager pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: NLP, Keras, TensorFlow, Computer Vision, PyTorch konularında deneyim. Ayrıca  teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","NLP, Keras, TensorFlow, Computer Vision, PyTorch",Principal,Uluslararası Şirket,Hybrid
JOB_00039,Senior Kubernetes Engineer,Bulut Bilişim,"Senior seviyede Kubernetes Engineer pozisyonu için başvuruları kabul ediyoruz. Ar-Ge Merkezi olarak Bulut Bilişim alanında öncü projeler geliştiriyoruz. Aranan nitelikler: CloudFormation, Cloud Security, EC2, Lambda, Serverless Architecture, S3, Azure, Kubernetes, Terraform, Docker, Cost Optimization, AWS. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","CloudFormation, Cloud Security, EC2, Lambda, Serverless Architecture, S3, Azure, Kubernetes, Terraform, Docker, Cost Optimization, AWS",Senior,Ar-Ge Merkezi,İzmir
JOB_00040,Mid-Level Cloud Security Specialist,Bulut Bilişim,"Bulut Bilişim sektöründe faaliyet gösteren Kurumsal Firma'ümüz için Mid-Level Cloud Security Specialist pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: Azure, Cloud Security, Docker, Terraform, Serverless Architecture konularında deneyim. Ayrıca Kubernetes, Google Cloud, EC2, AWS, Cost Optimization, S3, Lambda teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","Azure, Cloud Security, Docker, Terraform, Serverless Architecture, Kubernetes, Google Cloud, EC2, AWS, Cost Optimization, S3, Lambda",Mid-Level,Kurumsal Firma,Ankara
JOB_00041,Lead Security Engineer,Siber Güvenlik,"Siber Güvenlik sektöründe faaliyet gösteren Uluslararası Şirket'ümüz için Lead Security Engineer pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: OWASP, Incident Response, Vulnerability Assessment, Network Security, Firewall konularında deneyim. Ayrıca Kali Linux, Wireshark, Security Auditing, Burp Suite, SIEM teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","OWASP, Incident Response, Vulnerability Assessment, Network Security, Firewall, Kali Linux, Wireshark, Security Auditing, Burp Suite, SIEM",Lead,Uluslararası Şirket,Remote
JOB_00042,Senior Frontend Developer,Yazılım Geliştirme,"Senior seviyede Frontend Developer pozisyonu için başvuruları kabul ediyoruz. Ar-Ge Merkezi olarak Yazılım Geliştirme alanında öncü projeler geliştiriyoruz. Aranan nitelikler: CI/CD, Docker, PostgreSQL, C++, Go, Node.js, MongoDB, Python, Microservices, React, Git. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","CI/CD, Docker, PostgreSQL, C++, Go, Node.js, MongoDB, Python, Microservices, React, Git",Senior,Ar-Ge Merkezi,Ankara
JOB_00043,Principal Unity Developer,Oyun Geliştirme,"Principal seviyede Unity Developer pozisyonu için başvuruları kabul ediyoruz. Teknoloji Devi olarak Oyun Geliştirme alanında öncü projeler geliştiriyoruz. Aranan nitelikler: Game Physics, Game AI, Animation, Unity, Unreal Engine. Problem çözme becerisi yüksek, analitik düşünebilen ve teknolojiye tutkulu profesyoneller ile çalışmak istiyoruz.","Game Physics, Game AI, Animation, Unity, Unreal Engine",Principal,Teknoloji Devi,Remote
JOB_00044,Mid-Level Research Scientist,Yapay Zeka,"Yapay Zeka sektöründe faaliyet gösteren Startup'ümüz için Mid-Level Research Scientist pozisyonunda ekip arkadaşı arıyoruz. Pozisyon gereksinimleri: GPT, BERT, Keras, Computer Vision, Feature Engineering konularında deneyim. Ayrıca Reinforcement Learning, Hugging Face, Transformers, NLP teknolojilerine aşinalık beklenmektedir. Dinamik ve yenilikçi bir ortamda çalışmak isteyen adayları bekliyoruz.","GPT, BERT, Keras, Computer Vision, Feature Engineering, Reinforcement Learning, Hugging Face, Transformers, NLP",Mid-Level,Startup,İzmir
JOB_00045,Junior Data Engineer,Veri Bilimi,"Danışmanlık Firması bünyesinde görev yapacak Junior seviye Data Engineer arıyoruz. Veri Bilimi alanında deneyimli, Hadoop, Pandas, Apache Spark teknolojilerine hakim ve takım çalışmasına yatkın adaylar aramaktayız. Gerekli teknik beceriler: Hadoop, Pandas, Apache Spark, R, Data Visualization. Projelerimizde aktif rol alacak, kod kalitesine önem verecek ve sürekli öğrenmeye açık profesyoneller ile çalışmak istiyoruz.","Hadoop, Pandas, Apache Spark, R, Data Visualization",Junior,Danışmanlık Firması,İstanbul
